# LAMMPS data file written by OVITO Pro 3.12.1

15040 atoms
4 atom types

-30.0675 33.2325 xlo xhi
-30.0675 33.2325 ylo yhi
-30.0675 33.2325 zlo zhi

Masses

1 183.84  # W
2 1.0  # Type 2
3 1.0  # Type 3
4 1.0  # Type 4

Atoms  # atomic

153 3 -30.0675 -17.4075 -17.4075
154 4 -28.485 -15.825 -15.825
155 1 -30.0675 -17.4075 -14.2425
156 2 -28.485 -15.825 -12.66
157 2 -30.0675 -17.4075 -11.0775
158 1 -28.485 -15.825 -9.495
159 4 -28.485 -15.825 -6.33
160 3 -30.0675 -17.4075 -4.7475
161 1 -28.485 -15.825 -3.165
162 3 -30.0675 -17.4075 -1.5825
163 1 -28.485 -15.825 0.0
164 3 -30.0675 -17.4075 1.5825
165 3 -28.485 -15.825 3.165
166 4 -30.0675 -17.4075 4.7475
167 3 -28.485 -15.825 6.33
168 4 -30.0675 -17.4075 7.9125
169 4 -28.485 -15.825 9.495
170 2 -30.0675 -17.4075 11.0775
171 3 -28.485 -15.825 12.66
172 2 -30.0675 -17.4075 14.2425
173 2 -28.485 -15.825 15.825
174 3 -30.0675 -17.4075 17.4075
175 3 -28.485 -15.825 18.99
176 2 -30.0675 -17.4075 20.5725
177 4 -28.485 -15.825 22.155
178 3 -30.0675 -17.4075 23.7375
179 3 -28.485 -15.825 25.32
180 3 -30.0675 -17.4075 26.9025
181 2 -28.485 -15.825 28.485
182 2 -30.0675 -17.4075 30.0675
183 1 -28.485 -15.825 31.65
184 1 -30.0675 -14.2425 -30.0675
185 2 -28.485 -12.66 -28.485
186 4 -30.0675 -14.2425 -26.9025
187 1 -28.485 -12.66 -25.32
188 3 -30.0675 -14.2425 -23.7375
189 3 -28.485 -12.66 -22.155
190 4 -30.0675 -14.2425 -20.5725
191 2 -28.485 -12.66 -18.99
192 4 -30.0675 -14.2425 -17.4075
193 3 -28.485 -12.66 -15.825
194 3 -30.0675 -14.2425 -14.2425
195 2 -28.485 -12.66 -12.66
196 4 -30.0675 -14.2425 -11.0775
197 3 -28.485 -12.66 -9.495
198 2 -30.0675 -14.2425 -7.9125
199 2 -30.0675 -14.2425 -4.7475
200 1 -28.485 -12.66 -3.165
201 3 -30.0675 -14.2425 -1.5825
202 2 -28.485 -12.66 0.0
203 2 -30.0675 -14.2425 1.5825
204 1 -28.485 -12.66 3.165
205 1 -30.0675 -14.2425 4.7475
206 4 -28.485 -12.66 6.33
207 2 -30.0675 -14.2425 7.9125
208 4 -28.485 -12.66 9.495
209 2 -30.0675 -14.2425 11.0775
210 2 -28.485 -12.66 12.66
211 2 -30.0675 -14.2425 14.2425
212 4 -28.485 -12.66 15.825
213 1 -28.485 -12.66 18.99
214 3 -30.0675 -14.2425 20.5725
215 2 -28.485 -12.66 22.155
216 1 -30.0675 -14.2425 23.7375
217 4 -28.485 -12.66 25.32
218 1 -30.0675 -14.2425 26.9025
219 3 -28.485 -12.66 28.485
220 2 -30.0675 -14.2425 30.0675
221 4 -28.485 -12.66 31.65
222 2 -30.0675 -11.0775 -30.0675
223 4 -28.485 -9.495 -28.485
224 4 -30.0675 -11.0775 -26.9025
225 1 -28.485 -9.495 -25.32
226 2 -30.0675 -11.0775 -23.7375
227 4 -28.485 -9.495 -22.155
228 4 -30.0675 -11.0775 -20.5725
229 1 -28.485 -9.495 -18.99
230 3 -28.485 -9.495 -15.825
231 3 -28.485 -9.495 -12.66
232 3 -30.0675 -11.0775 -11.0775
233 2 -28.485 -9.495 -9.495
234 3 -30.0675 -11.0775 -7.9125
235 3 -28.485 -9.495 -6.33
236 1 -30.0675 -11.0775 -4.7475
237 1 -28.485 -9.495 -3.165
238 3 -30.0675 -11.0775 1.5825
239 4 -28.485 -9.495 3.165
240 1 -30.0675 -11.0775 4.7475
241 1 -28.485 -9.495 6.33
242 3 -30.0675 -11.0775 7.9125
243 2 -28.485 -9.495 9.495
244 4 -30.0675 -11.0775 11.0775
245 2 -28.485 -9.495 12.66
246 4 -30.0675 -11.0775 14.2425
247 2 -28.485 -9.495 15.825
248 3 -30.0675 -11.0775 17.4075
249 2 -28.485 -9.495 18.99
250 1 -30.0675 -11.0775 20.5725
251 1 -28.485 -9.495 22.155
252 2 -30.0675 -11.0775 23.7375
253 4 -28.485 -9.495 25.32
254 3 -30.0675 -11.0775 26.9025
255 1 -28.485 -9.495 28.485
256 3 -30.0675 -11.0775 30.0675
257 4 -28.485 -9.495 31.65
258 4 -30.0675 -7.9125 -30.0675
259 4 -30.0675 -7.9125 -26.9025
260 2 -28.485 -6.33 -25.32
261 3 -30.0675 -7.9125 -23.7375
262 2 -28.485 -6.33 -22.155
263 2 -30.0675 -7.9125 -20.5725
264 1 -28.485 -6.33 -18.99
265 4 -30.0675 -7.9125 -17.4075
266 1 -28.485 -6.33 -15.825
267 2 -30.0675 -7.9125 -14.2425
268 3 -28.485 -6.33 -12.66
269 1 -30.0675 -7.9125 -11.0775
270 3 -28.485 -6.33 -9.495
271 1 -30.0675 -7.9125 -7.9125
272 1 -28.485 -6.33 -6.33
273 2 -30.0675 -7.9125 -4.7475
274 4 -28.485 -6.33 -3.165
275 2 -30.0675 -7.9125 -1.5825
276 3 -28.485 -6.33 0.0
277 4 -30.0675 -7.9125 1.5825
278 4 -28.485 -6.33 3.165
279 1 -30.0675 -7.9125 4.7475
280 1 -28.485 -6.33 6.33
281 3 -30.0675 -7.9125 7.9125
282 4 -28.485 -6.33 9.495
283 4 -30.0675 -7.9125 11.0775
284 4 -28.485 -6.33 12.66
285 4 -30.0675 -7.9125 14.2425
286 4 -28.485 -6.33 15.825
287 2 -30.0675 -7.9125 17.4075
288 1 -28.485 -6.33 18.99
289 4 -28.485 -6.33 22.155
290 2 -30.0675 -7.9125 23.7375
291 1 -28.485 -6.33 25.32
292 1 -30.0675 -7.9125 26.9025
293 2 -28.485 -6.33 28.485
294 2 -30.0675 -7.9125 30.0675
295 4 -28.485 -6.33 31.65
296 2 -30.0675 -4.7475 -30.0675
297 3 -28.485 -3.165 -28.485
298 1 -30.0675 -4.7475 -26.9025
299 4 -28.485 -3.165 -25.32
300 3 -30.0675 -4.7475 -23.7375
301 4 -28.485 -3.165 -22.155
302 2 -30.0675 -4.7475 -20.5725
303 3 -28.485 -3.165 -18.99
304 3 -30.0675 -4.7475 -17.4075
305 1 -30.0675 -4.7475 -14.2425
306 2 -28.485 -3.165 -12.66
307 3 -30.0675 -4.7475 -11.0775
308 1 -28.485 -3.165 -9.495
309 2 -30.0675 -4.7475 -7.9125
310 2 -28.485 -3.165 -6.33
311 2 -30.0675 -4.7475 -4.7475
312 2 -28.485 -3.165 -3.165
313 4 -30.0675 -4.7475 -1.5825
314 2 -28.485 -3.165 0.0
315 3 -30.0675 -4.7475 1.5825
316 3 -28.485 -3.165 3.165
317 2 -30.0675 -4.7475 4.7475
318 2 -28.485 -3.165 6.33
319 2 -30.0675 -4.7475 7.9125
320 2 -28.485 -3.165 9.495
321 2 -30.0675 -4.7475 11.0775
322 1 -28.485 -3.165 12.66
323 1 -30.0675 -4.7475 14.2425
324 4 -28.485 -3.165 15.825
325 3 -30.0675 -4.7475 17.4075
326 3 -28.485 -3.165 18.99
327 1 -30.0675 -4.7475 20.5725
328 4 -30.0675 -4.7475 23.7375
329 4 -28.485 -3.165 25.32
330 4 -30.0675 -4.7475 26.9025
331 1 -28.485 -3.165 28.485
332 1 -30.0675 -4.7475 30.0675
333 4 -28.485 -3.165 31.65
334 3 -30.0675 -1.5825 -30.0675
335 3 -28.485 0.0 -28.485
336 1 -30.0675 -1.5825 -26.9025
337 4 -28.485 0.0 -25.32
338 1 -30.0675 -1.5825 -23.7375
339 3 -28.485 0.0 -22.155
340 1 -30.0675 -1.5825 -20.5725
341 4 -28.485 0.0 -18.99
342 4 -30.0675 -1.5825 -17.4075
343 2 -28.485 0.0 -15.825
344 4 -30.0675 -1.5825 -14.2425
345 4 -28.485 0.0 -12.66
346 2 -30.0675 -1.5825 -11.0775
347 4 -28.485 0.0 -9.495
